country_code,pass_count,predicted_gdp_per_capita,actual_gdp_per_capita,relative_error_gdp_per_capita,pass_gdp_per_capita,predicted_inflation,actual_inflation,relative_error_inflation,pass_inflation,predicted_unemployment,actual_unemployment,relative_error_unemployment,pass_unemployment,predicted_debt_gdp,actual_debt_gdp,relative_error_debt_gdp,pass_debt_gdp,predicted_life_expectancy,actual_life_expectancy,relative_error_life_expectancy,pass_life_expectancy
AGO,2,2579.113890636113,2665.87444776753,0.03254487742439353,True,0.015796381836268088,0.282404948915772,0.9440647839320288,False,0.30668661485207244,0.1402,1.1874936865340404,False,3.0,0.5710000000000001,4.253940455341505,False,62.317192802993475,64.805,0.03838912424977289,True
ALB,1,3247.5991289907374,11377.7757431099,0.7145664317599683,False,-0.033351201564395375,0.0221587375089991,2.5051038693360033,False,0.28674285616020917,0.10689,1.6825975878024997,False,3.0,0.545,4.504587155963303,False,72.1161058147096,79.776,0.09601752639002203,True
ARE,3,107222.10639097355,50273.5060469837,1.1327755874191043,False,0.017608306441153722,0.0166336510224894,0.05859539901050876,True,0.01999,0.0216,0.07453703703703705,True,0.0,0.349,1.0,False,83.75577679521484,83.069,0.008267546199121692,True
ARG,2,16071.940636915917,13969.7836603737,0.150478849755214,True,-0.03483811956321047,2.19883929014578,1.015843868044081,False,0.1137267757268197,0.07150000000000001,0.5905842758995761,False,1.5233938518199648,0.847,0.7985759761746928,False,78.2933874370227,77.543,0.00967704934065867,True
AUS,1,144984.0060622086,64603.9856308464,1.2441959988453593,False,0.04864535241933311,0.0316656665428797,0.5362175419064861,False,0.05083,0.039420000000000004,0.28944698122780305,False,0.19487483317077522,0.506,0.6148718712040014,False,84.27447624512885,83.0512195121951,0.014728943658125665,True
AUT,3,53709.804293861576,58268.8787651601,0.07824201474122872,True,0.05998847149596197,0.029379157427937497,1.041871746768244,False,0.046369999999999995,0.052000000000000005,0.10826923076923095,True,2.151126255260455,0.792,1.716068504116736,False,83.10358860748676,81.9951219512195,0.013518690257289967,True
AZE,1,8877.367713681977,7283.8499076179,0.21877411345303507,False,-0.025305121862044935,0.022121718891990102,2.143903960881064,False,0.12657045139022985,0.056479999999999995,1.2409782469941546,False,1.1112263287349398,0.21600000000000003,4.144566336735832,False,74.03348342408353,74.576,0.007274680539536388,True
BEL,2,48927.59690064558,56614.5679499036,0.13577726241874657,True,-0.020934695444876757,0.0314349136500041,1.6659695546793407,False,0.0836594476665067,0.057,0.46770960818432794,False,3.0,1.0390000000000001,1.8873917228103942,False,82.93025984064226,82.3,0.007658078258107746,True
BEN,1,1155.5995282895658,1485.38018885134,0.22201767805776185,False,-0.03616926294087626,0.0116093089640415,4.1155396977465575,False,0.1103693040951528,0.01637,5.742168851261626,False,1.1453768638101505,0.605,0.8931848988597529,False,60.06048867480814,60.961,0.01477192508639716,True
BFA,1,714.1508598014623,981.992649769081,0.2727533551606549,False,-0.04109122504086529,0.041908172134452304,1.980506258040412,False,0.1960528853840533,0.034409999999999996,4.69755551828112,False,2.6143633785593297,0.5720000000000001,3.5705653471316947,False,59.84519440188771,61.292,0.0236051295130244,True
BGD,1,962.4585103596817,2593.41611680774,0.6288838863450957,False,-0.0014203303984443374,0.104657482763412,1.013571226451673,False,0.2493483191379318,0.03635,5.859651145472677,False,1.723555528415452,0.41,3.2037939717450055,False,65.71235404883448,74.93,0.12301676165975606,True
BGR,1,7829.501088754494,17596.0173663521,0.555041295666915,False,-0.03894509527731266,0.0244651943006078,2.5918571828528303,False,0.11104414221603869,0.042,1.643908148000921,False,0.6804089548205061,0.23800000000000002,1.8588611547080087,False,76.2322202959543,75.7609756097561,0.0062201507095893315,True
BIH,1,4257.038335881648,9358.78768951134,0.5451292969651794,False,-0.04224373155757384,0.0169212733599723,3.496486562146231,False,0.3815180115071423,0.1069,2.56892433589469,False,3.0,0.294,9.204081632653061,False,73.50446857786771,78.044,0.05816630903249814,True
BOL,2,5182.202827120294,4421.16609889999,0.17213484207473098,True,-0.014273582750462609,0.0509976568317427,1.2798870308405668,False,0.11596162563924807,0.03274,2.5418944911193666,False,1.4944364182393384,0.8320000000000001,0.7961976180761277,False,68.93968118921039,68.739,0.002919466230384286,True
BRA,1,6098.438487101952,10310.5488778166,0.4085243608880132,False,-0.009163429750983113,0.0436746407652336,1.2098112220370565,False,0.23721851380118297,0.06801,2.487994615515115,False,3.0,0.87,2.4482758620689653,False,75.83063475305352,76.023,0.002530355904745667,True
CAF,1,161.1050630198832,516.160999996036,0.68787827243608,False,-0.016486039168209107,0.0147733600718743,2.1159302344221222,False,0.32455974431462487,0.06253,4.190464486080679,False,3.0,0.599,4.0083472454090145,False,52.5382783057442,57.671,0.08900004671768826,True
CAN,3,63047.9474754855,54340.3477224733,0.16024188504430628,True,-0.0004897150753465918,0.0238158383281173,1.0205625797672815,False,0.07300314190110968,0.06351,0.14947475832325122,True,2.2081855914938435,1.1,1.007441446812585,False,83.60642100661917,82.1080487804878,0.018248786183400815,True
CHE,2,150735.71835743854,103998.186685604,0.449407178734052,False,0.04673875057699667,0.0106234041976594,3.39960202091288,False,0.04409,0.043429999999999996,0.01519686852406173,True,0.0,0.405,1.0,False,84.61730791247531,84.4073170731707,0.00248782743707602,True
CHL,1,23412.737572568232,16709.8893972307,0.4011306128961201,False,0.02644500078394368,0.042976389157252395,0.38466210627467273,False,0.0657260302082916,0.08718,0.2460882059154439,False,0.07906136296687123,0.41700000000000004,0.810404405355225,False,81.48121495655317,81.359,0.0015021688633486078,True
CHN,1,18705.0669669707,13303.1481543868,0.40606319270394514,False,-0.02840076459294013,0.00218128938439177,14.020172745607246,False,0.1486626622138692,0.045899999999999996,2.238837956729177,False,1.4370630061574794,0.904,0.5896714669883621,False,78.53734071407644,78.017,0.006669581169186713,True
CIV,1,1849.2034673169553,2727.8935220697,0.32211303250797974,False,-0.03617995329003808,0.0345053028131018,2.048533133762281,False,0.19535985387638083,0.02273,7.594802194297441,False,2.017020229664391,0.595,2.389949965822506,False,59.19265478018429,62.11,0.04697062018701832,True
COG,1,3171.428557972123,2482.2489948456,0.2776432036260694,False,-0.03196846485316587,0.0309143630919166,2.0340974762480193,False,0.3623068345658619,0.19895,0.821094921165428,False,3.0,0.98,2.061224489795918,False,65.15350923315366,66.001,0.012840574640480428,True
COL,2,9129.692253777559,7919.20886825345,0.1528540799544634,True,-0.0290301001097684,0.0660908593728228,1.4392453114583927,False,0.20080490374334264,0.09619,1.0875860665697332,False,2.682970568516326,0.61,3.3983124074038136,False,77.22293039810413,77.913,0.008856925056099384,True
COM,1,1055.0013612253397,1662.75663312504,0.36551065850055575,False,-0.03328947548100819,0.0505192609588218,1.6589462088161269,False,0.16397745252205098,0.038149999999999996,3.2982294239069727,False,0.9693139525041519,0.3,2.231046508347173,False,65.39612948955032,67.023,0.02427331677856374,True
CPV,1,2590.3947742440646,5192.48157325878,0.5011258609785796,False,-0.03743228243784223,0.010481698336864999,4.571203943753066,False,0.2570635299300827,0.11882999999999999,1.1632881421365202,False,3.0,1.128,1.6595744680851066,False,70.60861846118327,76.224,0.073669468130992,True
CRI,2,18457.501050059742,18587.1532203482,0.006975364583884768,True,0.0026899478254700064,-0.00412853001047069,1.651550992398703,False,0.11262679082088314,0.06936,0.6238003290208064,False,0.8709090408375334,0.589,0.47862315931669513,False,81.40910440351571,80.996,0.005100306231365962,True
CYP,1,10085.878895007298,38674.29296875,0.7392097406109791,False,-0.04353943719099435,0.0180023018624815,3.418548334740162,False,0.2532573578609731,0.049,4.168517507366798,False,3.0,0.628,3.7770700636942673,False,79.77541433708953,81.821,0.02500074141003494,True
CZE,2,22075.339019627532,31823.3078290564,0.30631538562212085,False,0.05666438537824578,0.024353120243531402,1.3267813245941982,False,0.061079999999999995,0.026000000000000002,1.3492307692307688,False,0.4549557398907067,0.433,0.05070609674528107,True,80.40126865113686,79.9780487804878,0.005291700374069594,True
DEU,3,63504.62856861058,56103.7323182554,0.13191450808250454,True,0.05601386637399549,0.022564981433876002,1.4823360275361834,False,0.04979,0.034,0.4644117647058823,False,0.7048094849115307,0.622,0.13313422011500117,True,82.5711277998209,80.7926829268293,0.022012449748726202,True
DJI,2,2853.839522937456,3552.72335079222,0.1967177736197558,True,-0.046911863074088234,0.021120116728496997,3.221193361625265,False,0.3904675963504783,0.26007,0.5013942259794604,False,3.0,0.34,7.823529411764706,False,64.08114416590419,66.202,0.03203612933288732,True
DNK,2,82421.27001040493,71026.4832271897,0.16043011374739133,True,0.05716961611264115,0.013722004976892499,3.166272801162316,False,0.06924999999999999,0.053579999999999996,0.2924598730869727,False,0.5365779581339165,0.305,0.7592719938816935,False,82.78164944828687,82.2536585365854,0.006419056867441606,True
DOM,1,6944.878440373172,10875.6618443092,0.36142935117027836,False,-0.02345019757075735,0.0330223338951227,1.7101314415036206,False,0.15299494225268015,0.05312,1.8801758707206353,False,1.6566515543894718,0.588,1.8174346163086255,False,74.07242791890462,73.868,0.0027674760235098807,True
